"ID","day","cytokine","sex","group","value","LOD","fold_change_baseline","NHP","virus","baseline","inf_status","exp","bites_of_the_day","bites_of_yesterday","cumul_bites_up_to_daym1","cumul_bites_2_previous_days","cumul_bites_3_previous_days","cumul_bites_4_previous_days","cumul_bites_7_previous_days"
"5080",2,"IL.8","F","Squirrel.Zika virus",11.66,11.66,NA,"Squirrel","Zika virus",11.66,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"G.CSF","F","Squirrel.Zika virus",113.59,113.59,NA,"Squirrel","Zika virus",113.59,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.17","F","Squirrel.Zika virus",31.32,31.32,NA,"Squirrel","Zika virus",31.32,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"MDC","F","Squirrel.Zika virus",295.16,295.16,NA,"Squirrel","Zika virus",295.16,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"I.TAC","F","Squirrel.Zika virus",32.04,32.04,NA,"Squirrel","Zika virus",32.04,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.1B","F","Squirrel.Zika virus",12.14,12.14,NA,"Squirrel","Zika virus",12.14,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"TGFbeta","F","Squirrel.Zika virus",2.91,2.91,NA,"Squirrel","Zika virus",2.91,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"TNF.alpha","F","Squirrel.Zika virus",14.46,14.46,NA,"Squirrel","Zika virus",14.46,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"MIP.1a","F","Squirrel.Zika virus",28.4,28.4,NA,"Squirrel","Zika virus",28.4,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.15","F","Squirrel.Zika virus",76.04,76.04,NA,"Squirrel","Zika virus",76.04,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"MCP.1","F","Squirrel.Zika virus",20.12,20.12,NA,"Squirrel","Zika virus",20.12,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"Eotaxin","F","Squirrel.Zika virus",2.39,2.39,NA,"Squirrel","Zika virus",2.39,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"VEGF","F","Squirrel.Zika virus",0.96,0.96,NA,"Squirrel","Zika virus",0.96,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"MIG","F","Squirrel.Zika virus",23.59,23.59,NA,"Squirrel","Zika virus",23.59,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"MIP.1B","F","Squirrel.Zika virus",66.12,32.57,2.03008903899294,"Squirrel","Zika virus",32.57,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"EGF","F","Squirrel.Zika virus",3.29,3.29,NA,"Squirrel","Zika virus",3.29,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.10","F","Squirrel.Zika virus",13.57,13.57,NA,"Squirrel","Zika virus",13.57,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.12","F","Squirrel.Zika virus",110.63,110.63,NA,"Squirrel","Zika virus",110.63,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"RANTES","F","Squirrel.Zika virus",8.68,8.68,1,"Squirrel","Zika virus",8.68,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.2","F","Squirrel.Zika virus",43.77,43.77,NA,"Squirrel","Zika virus",43.77,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IFN.g","F","Squirrel.Zika virus",15.43,15.43,NA,"Squirrel","Zika virus",15.43,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.RA","F","Squirrel.Zika virus",55.49,55.49,NA,"Squirrel","Zika virus",55.49,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"MIF","F","Squirrel.Zika virus",286.74,8.24,0.883527454242928,"Squirrel","Zika virus",324.54,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.4","F","Squirrel.Zika virus",38.97,38.97,NA,"Squirrel","Zika virus",38.97,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.6","F","Squirrel.Zika virus",7.71,7.71,NA,"Squirrel","Zika virus",7.71,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",2,"IL.5","F","Squirrel.Zika virus",6.39,6.39,NA,"Squirrel","Zika virus",6.39,"Control","zikv_squirrel",13,0,10,10,10,10,10
"5080",28,"I.TAC","F","Squirrel.Zika virus",32.04,32.04,NA,"Squirrel","Zika virus",32.04,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"G.CSF","F","Squirrel.Zika virus",113.59,113.59,NA,"Squirrel","Zika virus",113.59,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IP.10","F","Squirrel.Zika virus",4.35,4.35,NA,"Squirrel","Zika virus",4.35,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.12","F","Squirrel.Zika virus",110.63,110.63,NA,"Squirrel","Zika virus",110.63,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.8","F","Squirrel.Zika virus",11.66,11.66,NA,"Squirrel","Zika virus",11.66,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"RANTES","F","Squirrel.Zika virus",8.68,8.68,1,"Squirrel","Zika virus",8.68,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.17","F","Squirrel.Zika virus",31.32,31.32,NA,"Squirrel","Zika virus",31.32,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.15","F","Squirrel.Zika virus",76.04,76.04,NA,"Squirrel","Zika virus",76.04,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"Eotaxin","F","Squirrel.Zika virus",2.39,2.39,NA,"Squirrel","Zika virus",2.39,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.10","F","Squirrel.Zika virus",13.57,13.57,NA,"Squirrel","Zika virus",13.57,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"TGFbeta","F","Squirrel.Zika virus",2.91,2.91,NA,"Squirrel","Zika virus",2.91,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IFN.g","F","Squirrel.Zika virus",15.43,15.43,NA,"Squirrel","Zika virus",15.43,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.6","F","Squirrel.Zika virus",7.71,7.71,NA,"Squirrel","Zika virus",7.71,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.1B","F","Squirrel.Zika virus",12.14,12.14,NA,"Squirrel","Zika virus",12.14,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"MDC","F","Squirrel.Zika virus",295.16,295.16,NA,"Squirrel","Zika virus",295.16,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"GM.CSF","F","Squirrel.Zika virus",17,17,NA,"Squirrel","Zika virus",17,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"MIP.1B","F","Squirrel.Zika virus",34.86,32.57,1.07031010132023,"Squirrel","Zika virus",32.57,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"HGF","F","Squirrel.Zika virus",70.66,70.66,NA,"Squirrel","Zika virus",70.66,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"VEGF","F","Squirrel.Zika virus",0.96,0.96,NA,"Squirrel","Zika virus",0.96,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"TNF.alpha","F","Squirrel.Zika virus",14.46,14.46,NA,"Squirrel","Zika virus",14.46,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.2","F","Squirrel.Zika virus",43.77,43.77,NA,"Squirrel","Zika virus",43.77,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"MIF","F","Squirrel.Zika virus",575.4,8.24,1.77297097430209,"Squirrel","Zika virus",324.54,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"MCP.1","F","Squirrel.Zika virus",20.12,20.12,NA,"Squirrel","Zika virus",20.12,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"MIG","F","Squirrel.Zika virus",23.59,23.59,NA,"Squirrel","Zika virus",23.59,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"EGF","F","Squirrel.Zika virus",3.29,3.29,NA,"Squirrel","Zika virus",3.29,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.4","F","Squirrel.Zika virus",38.97,38.97,NA,"Squirrel","Zika virus",38.97,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"MIP.1a","F","Squirrel.Zika virus",28.4,28.4,NA,"Squirrel","Zika virus",28.4,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.RA","F","Squirrel.Zika virus",55.49,55.49,NA,"Squirrel","Zika virus",55.49,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",28,"IL.5","F","Squirrel.Zika virus",6.39,6.39,NA,"Squirrel","Zika virus",6.39,"Control","zikv_squirrel",8,0,57,0,0,0,9
"5080",4,"G.CSF","F","Squirrel.Zika virus",113.59,113.59,NA,"Squirrel","Zika virus",113.59,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"IL.8","F","Squirrel.Zika virus",11.66,11.66,NA,"Squirrel","Zika virus",11.66,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"TNF.alpha","F","Squirrel.Zika virus",14.46,14.46,NA,"Squirrel","Zika virus",14.46,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"IL.15","F","Squirrel.Zika virus",76.04,76.04,NA,"Squirrel","Zika virus",76.04,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"IL.6","F","Squirrel.Zika virus",7.71,7.71,NA,"Squirrel","Zika virus",7.71,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"TGFbeta","F","Squirrel.Zika virus",2.91,2.91,NA,"Squirrel","Zika virus",2.91,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"IP.10","F","Squirrel.Zika virus",4.35,4.35,NA,"Squirrel","Zika virus",4.35,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"IL.17","F","Squirrel.Zika virus",31.32,31.32,NA,"Squirrel","Zika virus",31.32,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"VEGF","F","Squirrel.Zika virus",0.96,0.96,NA,"Squirrel","Zika virus",0.96,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"MIP.1B","F","Squirrel.Zika virus",32.57,32.57,1,"Squirrel","Zika virus",32.57,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"GM.CSF","F","Squirrel.Zika virus",17,17,NA,"Squirrel","Zika virus",17,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"IL.10","F","Squirrel.Zika virus",13.57,13.57,NA,"Squirrel","Zika virus",13.57,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"RANTES","F","Squirrel.Zika virus",8.68,8.68,1,"Squirrel","Zika virus",8.68,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"Eotaxin","F","Squirrel.Zika virus",2.39,2.39,NA,"Squirrel","Zika virus",2.39,"Control","zikv_squirrel",2,0,23,13,13,23,23
"5080",4,"MDC","F","Squirrel.Zika virus",295.16,295.16,NA,"Squirrel","Zika virus",295.16,"Control","zikv_squirrel",2,0,23,13,13,23,23
